,id,popularity,budget,revenue,original_title,director,keywords,runtime,genres,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
0,135397,32.985763,150000000,1513528810,Jurassic World,Colin Trevorrow,monster|dna|tyrannosaurus rex|velociraptor|island,124,Action,2015-06-09,5562,6.5,2015,137999939.280026,1392445892.5238
1,76341,28.419936,150000000,378436354,Mad Max: Fury Road,George Miller,future|chase|post-apocalyptic|dystopia|australia,120,Action,2015-05-13,6185,7.1,2015,137999939.280026,348161292.489031
2,262500,13.112507,110000000,295238201,Insurgent,Robert Schwentke,based on novel|revolution|dystopia|sequel|dystopic future,119,Adventure,2015-03-18,2480,6.3,2015,101199955.47201899,271619025.407628
3,140607,11.173103999999999,200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,android|spaceship|jedi|space opera|3d,136,Action,2015-12-15,5292,7.5,2015,183999919.040035,1902723129.80182
4,168259,9.335014,190000000,1506249360,Furious 7,James Wan,car race|speed|revenge|suspense|car,137,Action,2015-04-01,2947,7.3,2015,174799923.08803302,1385748801.47052
5,281957,9.1107,135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,father-son relationship|rape|based on novel|mountains|winter,156,Western,2015-12-25,3929,7.2,2015,124199945.352024,490314247.02173096
6,87101,8.654359,155000000,440603537,Terminator Genisys,Alan Taylor,saving the world|artificial intelligence|cyborg|killer robot|future,125,Science Fiction,2015-06-23,2598,5.8,2015,142599937.256027,405355075.683766
7,286217,7.6674,108000000,595380321,The Martian,Ridley Scott,based on novel|mars|nasa|isolation|botanist,141,Drama,2015-09-30,4572,7.6,2015,99359956.2816192,547749654.3101519
8,211672,7.40416499999999,74000000,1156730962,Minions,Kyle Balda|Pierre Coffin,assistant|aftercreditsstinger|duringcreditsstinger|evil mastermind|minions,91,Family,2015-06-17,2893,6.5,2015,68079970.0448131,1064192016.7955099
9,150540,6.326804,175000000,853708609,Inside Out,Pete Docter,dream|cartoon|imaginary friend|animation|kid,94,Comedy,2015-06-09,3935,8.0,2015,160999929.16003102,785411574.698907
10,206647,6.200282,245000000,880674609,Spectre,Sam Mendes,spy|based on novel|secret agent|sequel|james bond,148,Action,2015-10-26,3254,6.2,2015,225399900.824043,810220283.783075
11,76757,6.189369,176000003,183987723,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,jupiter|space|woman director|3d|interspecies romance,124,Science Fiction,2015-02-04,1937,5.2,2015,161919931.51523,169268630.681802
12,264660,6.118847,15000000,36869414,Ex Machina,Alex Garland,dancing|artificial intelligence|helicopter|distrust|isolation,108,Drama,2015-01-21,2854,7.6,2015,13799993.9280026,33919845.9552677
13,257344,5.984995,88000000,243637091,Pixels,Chris Columbus,video game|nerd|alien attack|3d|pixels,105,Action,2015-07-16,1575,5.8,2015,80959964.37761559,224146025.095748
14,99861,5.944927,280000000,1405035767,Avengers: Age of Ultron,Joss Whedon,marvel comic|comic|sequel|superhero|vision,141,Action,2015-04-22,4304,7.4,2015,257599886.656049,1292632336.88177
